학습용텍스트,위험도_정답
집에서 감상하기 좋은 다큐멘터리를 추천해 주세요,0.1
이메일에 파일을 첨부했어요,0.1
가벼운 소설을 추천해 주세요,0.1
집중할 때 듣기 좋은 곡을 찾고 있어요,0.1
초보자도 참여할 수 있나요,0.1
여름에 입기 좋은 셔츠를 찾고 있어요,0.1
산속 숙소에서 조용히 머물고 싶어요,0.1
옷장을 효율적으로 정리하고 싶어요,0.1
온라인에서 편한 운동화를 찾고 있어요,0.1
주말에 집 안을 정돈할 예정이에요,0.1
방에 어울리는 커튼을 고르고 있어요,0.1
키보드를 편하게 사용하는 자세가 있나요?,0.1
햇빛이 적은 방에 어울리는 식물이 있나요?,0.1
비 오는 날 방문하기 좋은 실내 장소가 있나요?,0.1
제품의 크기 표를 어디에서 볼 수 있나요?,0.1
한국어 공부에 도움이 되는 책이 있을까요?,0.1
비 오는 날에는 집에서 영화를 봐요,0.1
도서관은 몇 시에 문을 여나요?,0.1
따뜻한 수프를 만들어 볼까요?,0.1
아이와 함께 갈 만한 체험 공간을 추천해 주세요,0.1
재활용품을 분류하는 기준을 알려 주세요,0.1
주말 오후에 볼 만한 영화가 있을까요?,0.1
점심으로 어떤 메뉴가 좋을까요?,0.1
사진을 찍으러 가까운 곳에 가고 싶어요,0.1
작은 즐거움을 찾아보는 하루가 되면 좋겠어요,0.1
우유와 달걀을 사야 해요,0.1
편안한 운동복을 새로 사고 싶어요,0.1
기분 전환에 좋은 플레이리스트가 있나요?,0.1
친구에게 보낼 카드를 작성했어요,0.1
온라인 강의를 선택할 때 무엇을 확인해야 하나요?,0.1
따뜻한 차를 마시면 편안해져요,0.1
이번 주말 기온은 어느 정도인가요?,0.1
기차 안에서 먹기 좋은 간식을 알려 주세요,0.1
카페에서 책을 읽으며 쉬고 싶어요,0.1
저녁노을이 아주 아름답게 물들었어요,0.1
일정을 달력에 표시해 두었어요,0.1
서울에서 부산까지 걸리는 시간이 궁금해요,0.1
간단하게 만들 수 있는 아침 식사가 있나요?,0.1
가을이 되면 단풍 구경을 가고 싶어요,0.1
오늘 하루도 편안하게 보내세요,0.1
케이크 장식 재료를 추천해 주세요,0.1
파스타에 어울리는 소스를 추천해 주세요,0.1
새로운 메모 앱을 사용해 보고 싶어요,0.1
주말에는 늦잠을 자도 괜찮을까요?,0.1
좋아하는 향초를 켜고 책을 읽고 싶어요,0.1
오븐 온도는 몇 도로 맞추면 되나요?,0.1
주방에 작은 화분을 놓고 싶어요,0.1
상품의 색상 교환이 가능한가요?,0.1
카페에서 마시기 좋은 음료를 추천해 주세요,0.1
주말 계획을 천천히 세워 볼까요?,0.1
사진 편집 프로그램을 추천해 주세요,0.1
식탁 위에 예쁜 꽃을 놓았어요,0.1
주말에 친구와 전시회를 보러 갈 예정이에요,0.1
전자레인지로 만들 수 있는 간식이 있나요?,0.1
햇살이 따뜻해서 산책하기 좋은 날이에요,0.1
조용한 바닷가를 찾아보고 있어요,0.1
하루에 물을 얼마나 마시면 좋을까요?,0.1
이번 달 달력을 새로 꾸미고 싶어요,0.1
오늘 할 일을 메모장에 정리했어요,0.1
오늘 밤에는 다큐멘터리를 시청하려고 해요,0.1
샌드위치에 어떤 재료를 넣으면 맛있을까요?,0.1
차를 좋아하시면 어떤 종류를 드시나요?,0.1
생일 선물로 좋은 꽃을 추천해 주세요,0.1
홈베이킹에 필요한 기본 도구가 궁금해요,0.1
서비스 이용 가능 시간을 확인하고 싶어요,0.1
여행지에서 먹을 음식을 기대하고 있어요,0.1
방 안의 온도는 어느 정도가 적당한가요?,0.1
아침에 들을 음악을 골라 주세요,0.1
초보자를 위한 악기를 추천해 주세요,0.1
여행 에세이를 읽고 싶은 기분이에요,0.1
편한 운동복을 고르는 기준이 궁금해요,0.1
교통카드를 충전하고 싶어요,0.1
배송은 보통 며칠 정도 걸리나요?,0.1
달콤한 디저트가 먹고 싶네요,0.1
이번 주에 작은 목표를 세워 보려고 해요,0.1
간단한 아침 메뉴를 알려 주세요,0.1
화분에 물을 주는 걸 잊지 마세요,0.1
간단한 명상 방법을 알려 주세요,0.1
바다를 볼 수 있는 당일 여행지를 추천해 주세요,0.1
채식 메뉴가 있는 식당이 있나요?,0.1
차분한 분위기의 식당을 추천해 주세요,0.1
시계를 벽에 걸어 보려고 해요,0.1
와이파이 비밀번호를 변경하려고 해요,0.1
집중하기 좋은 음악을 알려 주세요,0.1
새로운 하루를 시작하니 기분이 좋아요,0.1
잔잔한 피아노곡을 추천해 주세요,0.1
집에서 요구르트를 만들 수 있나요?,0.1
오늘은 딸기가 아주 달콤하네요,0.1
저녁 노을이 아름답게 물들었어요,0.1
오늘은 좋아하는 드라마를 이어서 볼 거예요,0.1
근처에 볼 만한 명소가 있나요?,0.1
내일도 밝은 하루가 되기를 바라요,0.1
맛있는 수프를 만드는 방법을 알려 주세요,0.1
풍경을 보며 천천히 걷고 싶어요,0.1
카페에서 마실 만한 음료를 추천해 주세요,0.1
새로운 요리 레시피를 하나 추천해 주세요,0.1
색상 선택지가 다양해서 좋습니다,0.1
과일을 잘라 접시에 담았어요,0.1
주말에 방문할 수 있는 식물원이 있나요?,0.1
책상 주변을 정돈하는 좋은 방법이 있나요?,0.1
잠들기 전에 마시기 좋은 음료가 있나요?,0.1
수선 가능한 옷 종류를 알고 싶어요,0.1
주방용 수건을 몇 장 사려고 해요,0.1
따뜻한 차 한 잔이 마시고 싶어요,0.1
따뜻한 수프가 먹고 싶은 날이에요,0.1
오늘은 건강한 식사를 하고 싶어요,0.1
세탁기 사용 방법을 알려 주세요,0.1
산책로의 길이가 얼마나 되나요?,0.1
기차표를 예약하려고 합니다,0.1
잠깐 산책을 다녀오려고 해요,0.1
생일 선물로 무엇이 좋을까요?,0.1
무선 이어폰을 고를 때 중요한 점이 있나요?,0.1
집에서 그림을 그려 보려고 해요,0.1
휴대전화 배터리가 거의 다 되었어요,0.1
집에서 따라 하기 좋은 운동 영상이 있나요?,0.1
아침에 마신 커피가 정말 향긋했어요,0.1
지난봄에 찍은 사진이 참 예쁘네요,0.1
감사한 마음을 전할 짧은 문장이 있을까요?,0.1
편안한 음악을 들으며 쉬고 있어요,0.1
새로운 휴대전화 케이스를 찾아보고 있어요,0.1
가족과 함께 보기 좋은 영화를 추천해 주세요,0.1
실내 장식에 어울리는 화분을 추천해 주세요,0.1
새장 청소는 얼마나 자주 해야 하나요?,0.1
향초는 어떤 향이 편안한가요?,0.1
기분 전환에 도움이 되는 노래가 궁금해요,0.1
컴퓨터 업데이트를 진행하고 있어요,0.1
겨울옷을 보관할 때 필요한 준비물이 궁금해요,0.1
피아노 연주곡을 좋아하시나요?,0.1
간단한 뜨개질 작품을 만들어 보고 싶어요,0.1
창가 좌석을 선택할 수 있을까요?,0.1
집에서 휴식하는 좋은 방법이 있나요?,0.1
오늘은 집에서 김밥을 만들어 볼까요,0.1
잔잔한 피아노 연주곡이 듣고 싶어요,0.1
주말에는 늦잠을 조금 자고 싶어요,0.1
주말 영화표 가격이 궁금해요,0.1
전자레인지로 데울 수 있는 용기인가요?,0.1
차 종류가 다양한 카페를 좋아해요,0.1
카페까지 걸어서 얼마나 걸리나요?,0.1
포장 상태가 좋은지 궁금해요,0.1
블루투스 이어폰을 연결하고 싶어요,0.1
식탁을 예쁘게 꾸며 보고 싶어요,0.1
여행 일정표를 만드는 방법이 궁금해요,0.1
오늘 저녁 영화 상영 시간을 확인하고 싶어요,0.1
계산은 카드로 할 수 있나요?,0.1
휴대전화 배경 화면을 바꾸고 싶어요,0.1
최근에 나온 영화 중 볼 만한 작품이 있나요?,0.1
여행지의 명소를 찾아보고 있어요,0.1
가까운 우체국 운영 시간을 알려 주세요,0.1
무늬가 예쁜 접시 세트를 찾아 주세요,0.1
이번 달에 읽을 소설을 고르고 있어요,0.1
도예를 배울 수 있는 수업이 있나요?,0.1
창가에 작은 조명을 켰어요,0.1
운동 전에 준비 운동이 필요한가요?,0.1
새 커튼을 고르고 있어요,0.1
이번 주에는 책을 한 권 읽으려고 해요,0.1
저녁 식사는 맛있게 드셨어요,0.1
아침마다 식물에 물을 주고 있어요,0.1
저녁에 가족과 함께 식사할 예정이에요,0.1
집중할 때 듣기 좋은 음악이 궁금해요,0.1
기차 안에서 먹기 좋은 간식을 추천해 주세요,0.1
휴대용 충전기를 챙기는 게 좋을까요?,0.1
요리할 때 음악을 들으면 즐거워요,0.1
주말에 배드민턴을 치고 싶어요,0.1
예약 없이 방문할 수 있는 식당을 찾고 있어요,0.1
세탁한 옷을 햇볕에 말리고 있어요,0.1
숙면에 도움이 되는 생활 습관이 있을까요?,0.1
반려동물용 장난감을 고를 때 무엇을 봐야 하나요?,0.1
새 커튼을 달았더니 방이 환해졌어요,0.1
강아지 산책용품을 추천해 주세요,0.1
포근한 이불을 새로 세탁했어요,0.1
친구에게 보낼 안부 문자를 작성해 주세요,0.1
와이파이 비밀번호를 알려 주세요,0.1
사과와 바나나 중 어떤 것이 더 달까요,0.1
여행 사진을 정리하고 있어요,0.1
이번 주말에 영화 예매를 할까요?,0.1
창가에 앉아 햇살을 즐기고 싶어요,0.1
주말에 가족과 보드게임을 하려고 해요,0.1
여름용 가벼운 가방을 추천해 주세요,0.1
시간을 효율적으로 관리하는 방법이 궁금해요,0.1
집에서 와이파이를 설정하는 방법을 알려 주세요,0.1
택시를 미리 예약할 수 있을까요?,0.1
새로운 머그컵을 사용해 봤어요,0.1
편안한 밤 보내시길 바랍니다,0.1
요가 매트를 새로 장만하고 싶어요,0.1
물병을 가방에 넣었어요,0.1
이번 주에 개봉하는 영화가 있나요?,0.1
점심 메뉴로 비빔밥은 어떠세요,0.1
문서를 파일로 저장하고 싶어요,0.1
주말에는 새로운 식당에 가 보고 싶어요,0.1
커피와 차 중에 무엇을 더 좋아하시나요?,0.1
공부할 때 조용한 음악을 틀어요,0.1
향이 은은한 세제를 찾고 있어요,0.1
집에서 스트레칭을 하니 몸이 가벼워졌어요,0.1
여름철에 어울리는 샐러드 레시피가 있나요?,0.1
휴대전화 저장 공간을 늘리고 싶어요,0.1
샐러드와 잘 어울리는 드레싱을 알려 주세요,0.1
사진을 클라우드에 저장하고 싶어요,0.1
조용하게 대화할 수 있는 카페가 있을까요?,0.1
프린터를 새로 설치하려고 해요,0.1
가족과 함께 갈 만한 식당을 추천해 주세요,0.1
주말 저녁에 가족과 차를 마시고 싶어요,0.1
흰옷을 오래 관리하는 방법이 있나요?,0.1
가벼운 운동을 시작하려고 해요,0.1
화분에 물을 얼마나 자주 줘야 하나요?,0.1
여행에 관한 책을 찾아보고 있어요,0.1
방 안에 향초를 켜 두었어요,0.1
아침 시간을 알차게 활용하고 싶어요,0.1
하루 일과를 기록하는 습관을 만들고 있어요,0.1
가족과 함께 보드게임을 하고 싶어요,0.1
따뜻한 국물 요리가 먹고 싶어요,0.1
주말 아침에는 팬케이크를 만들어 볼게요,0.1
컴퓨터 파일을 정리하는 좋은 방법을 알려 주세요,0.1
오늘 하루도 차분하고 즐겁게 보내고 있어요,0.1
새로운 배경화면을 설정했어요,0.1
초콜릿 쿠키를 구워 보고 싶어요,0.1
독서 모임 일정이 궁금해요,0.1
새 학기를 준비하는 데 필요한 물품은 무엇인가요?,0.1
그림 그리기를 배우려면 무엇부터 해야 하나요?,0.1
그림을 처음 배울 때 필요한 도구가 있나요?,0.1
주방 수건을 새것으로 교체했어요,0.1
오늘 점심에는 비빔밥을 먹었어요,0.1
공항까지 가는 버스가 있나요?,0.1
택배 보관함 위치를 알려 주세요,0.1
전자책을 대여하는 방법이 궁금해요,0.1
주방 수건을 새로 사고 싶어요,0.1
오늘도 평온한 하루를 보내세요,0.1
냉장고 안을 깔끔하게 정리하고 싶어요,0.1
화분에 물을 주는 주기를 알려 주세요,0.1
근처에 자전거 대여소가 있나요?,0.1
여행지의 날씨를 확인하고 싶어요,0.1
새로운 동네를 천천히 둘러보고 싶어요,0.1
이웃에게 나누기 좋은 간식을 추천해 주세요,0.1
오늘 하늘의 구름 모양이 재미있네요,0.1
주말에 가족과 함께 식사할 예정이에요,0.1
궁금한 점을 천천히 살펴보고 있어요,0.1
주말에 할 만한 취미를 추천해 주세요,0.1
저녁 하늘 색이 정말 아름답네요,0.1
호텔 조식 시간은 언제인가요?,0.1
휴대전화 배터리를 충전할 수 있나요?,0.1
주말에 볼 만한 영화를 추천해 주세요,0.1
기차표를 예매하는 방법이 궁금해요,0.1
역 근처에 자전거 보관소가 있나요?,0.1
세탁기는 어느 코스로 사용하면 되나요?,0.1
자전거 도로가 잘 마련되어 있나요?,0.1
요즘 아침저녁으로 기온이 많이 내려갔네요,0.1
쿠키를 바삭하게 만드는 방법이 있나요?,0.1
여행 전에 필요한 물품을 정리해 주세요,0.1
주말에 맛있는 음식을 만들어 보려고 해요,0.1
작은 선물 포장 아이디어가 있을까요?,0.1
봄에 입기 좋은 재킷을 추천해 주세요,0.1
햇볕에 이불을 말리니 상쾌하네요,0.1
배송 예정일을 확인하고 싶어요,0.1
택배 상자를 구할 수 있을까요?,0.1
간단한 뜨개질을 배워 보고 싶어요,0.1
주말 계획을 세우는 중이에요,0.1
선물을 예쁘게 포장하는 방법을 알려 주세요,0.1
감사 인사로 보낼 카드를 고르고 싶어요,0.1
하루에 단어를 몇 개씩 외우면 좋을까요?,0.1
비밀번호를 잊었을 때 어떻게 해야 하나요?,0.1
배송 예정일을 알려 주실 수 있나요,0.1
집 근처에 자전거를 탈 만한 곳이 있나요?,0.1
도서관 이용 시간을 알려 주세요,0.1
새로운 취미를 시작하고 싶어요,0.1
집중할 때 듣기 좋은 클래식 음악을 추천해 주세요,0.1
좋은 음악과 함께 여유로운 저녁을 보내고 싶어요,0.1
택배 배송 상태를 확인하고 싶어요,0.1
노트북 가방을 고를 때 무엇을 확인해야 하나요?,0.1
점심으로 먹기 좋은 샐러드가 있을까요?,0.1
편안한 의자에서 잠시 쉬고 있어요,0.1
아침 공기가 상쾌해서 창문을 열었어요,0.1
집에서 향기 좋은 방향제를 사용하고 싶어요,0.1
숙소 체크인 시간을 확인해 주세요,0.1
햇볕이 좋아서 산책하기 좋은 날이네요,0.1
우편물을 보내는 데 필요한 사항을 알려 주세요,0.1
아침마다 가볍게 스트레칭하고 있어요,0.1
음악을 들으며 집안일을 하면 즐거워요,0.1
오늘도 즐거운 일들이 많았으면 좋겠어요,0.1
실내 온도를 어느 정도로 맞추면 좋을까요?,0.1
휴식 시간에 들을 음악을 골라 주세요,0.1
새 커튼을 달았더니 분위기가 달라졌어요,0.1
자전거를 탈 때 필요한 준비물을 알려 주세요,0.1
식물을 키울 때 주의할 점은 무엇인가요?,0.1
휴식 시간에 듣기 좋은 음악을 추천해 주세요,0.1
퍼즐을 맞추면 마음이 편안해져요,0.1
객실에 와이파이가 제공되나요?,0.1
공과금 납부일을 알려 주세요,0.1
주말에 파스타를 만들어 보려고 해요,0.1
영화 상영 시간표를 알려 주세요,0.1
목과 어깨를 편안하게 하는 동작이 있나요?,0.1
오늘 할 일을 정리하고 싶어요,0.1
이 의자는 오래 앉아도 편안한가요,0.1
안경을 찾고 있는데 확인할 곳이 있을까요?,0.1
이 식당은 포장도 가능한가요?,0.1
도서관 좌석을 예약할 수 있나요?,0.1
오늘도 작은 행복을 찾아보려고 해요,0.1
저녁 식사로 국수는 어떨까요?,0.1
예쁜 카드에 메시지를 적었어요,0.1
새 레시피를 따라 요리해 보고 싶어요,0.1
욕실 청소에 좋은 세제를 알려 주세요,0.1
잔잔한 피아노곡을 알려 주세요,0.1
근처에 아늑한 카페가 있는지 알려 주세요,0.1
따뜻한 차 한 잔이 마시고 싶네요,0.1
집들이 선물로 어울리는 물건이 있나요?,0.1
새로운 레시피를 찾아보고 있어요,0.1
온라인으로 편한 운동화를 찾아보고 있어요,0.1
여행지에서 사용할 지도를 찾고 있어요,0.1
문서 글꼴을 보기 좋게 바꾸고 싶어요,0.1
베란다에 작은 허브를 키워 보고 싶어요,0.1
이번 주에 영화를 보러 가고 싶어요,0.1
겨울에 먹기 좋은 따뜻한 찌개를 알려 주세요,0.1
편안한 재즈 음악을 추천해 주세요,0.1
휴대전화로 풍경 사진을 잘 찍는 방법이 궁금해요,0.1
오늘도 편안하고 즐거운 하루 보내세요,0.1
옷장을 효율적으로 정리하는 방법이 있나요?,0.1
집 안 냄새를 산뜻하게 관리하는 방법이 있나요?,0.1
커피 대신 마실 만한 음료가 있나요?,0.1
새로 나온 영화를 예매해 볼까요?,0.1
지하철 첫차 시간이 궁금해요,0.1
사진 촬영이 가능한 공간인가요?,0.1
여행지에서 사용할 수 있는 간단한 표현을 알려 주세요,0.1
사진 찍기 좋은 전망대를 알려 주세요,0.1
요가 수업은 몇 시에 시작하나요,0.1
양파를 잘게 썰어 준비했어요,0.1
화분에 물을 주는 것을 잊지 않았어요,0.1
친구와 만나서 즐거운 시간을 보냈어요,0.1
오늘은 일찍 잠자리에 들고 싶어요,0.1
기차표를 예매하려고 합니다,0.1
책상을 깔끔하게 정리하고 싶어요,0.1
메모를 깔끔하게 정리하고 싶어요,0.1
근처에 산책하기 좋은 길이 있나요?,0.1
새로 나온 책 중에서 읽을 만한 작품이 있을까요?,0.1
주말에 열리는 시장이 궁금해요,0.1
기분 전환에 좋은 활동을 추천해 주세요,0.1
오늘 저녁에는 파스타를 만들어 보려고 해요,0.1
창문을 열어 두니 바람이 시원하네요,0.1
내일 일출 시간을 알려 주세요,0.1
바다를 보러 여행을 떠나고 싶어요,0.1
날씨에 맞는 여행 준비물을 알려 주세요,0.1
기념일에 어울리는 꽃을 알려 주세요,0.1
어린이와 함께 관람하기 좋은 전시를 추천해 주세요,0.1
수프가 따뜻해서 속이 편안해요,0.1
아침마다 물을 충분히 마시려고 해요,0.1
사진으로 앨범을 만들고 싶어요,0.1
노래방에서 부를 노래를 고르고 있어요,0.1
자전거 타기에 좋은 길을 추천해 주세요,0.1
상영관에 음식물을 가져갈 수 있나요?,0.1
작은 방향제를 추천해 주세요,0.1
맑은 날에는 자전거를 타고 싶어요,0.1
예약 가능한 시간대를 알려 주세요,0.1
자막이 있는 상영관을 선택하고 싶어요,0.1
저녁 식사 후에 차를 마셔요,0.1
흰옷과 색깔 옷을 함께 세탁해도 될까요?,0.1
어린이용 메뉴가 있는지 궁금해요,0.1
커피는 따뜻한 것으로 부탁드려요,0.1
옷 색상은 어떤 조합이 잘 어울릴까요,0.1
연필심이 부드러운 제품을 찾고 있어요,0.1
장바구니에 담은 상품을 한꺼번에 결제할 수 있나요?,0.1
텀블러를 깨끗이 씻어 두었어요,0.1
가벼운 재킷을 하나 장만하고 싶어요,0.1
아이스크림은 어떤 맛이 있나요,0.1
수채화 물감 세트를 고르고 있어요,0.1
독서 기록을 간단히 남기는 방법이 궁금해요,0.1
따뜻한 차와 잘 어울리는 간식은 무엇인가요?,0.1
예매한 영화의 시작 시간을 확인해 주세요,0.1
좋은 에세이를 소개해 주세요,0.1
집에서 사용할 조명을 새로 사고 싶어요,0.1
이 셔츠와 어울리는 바지 색상이 궁금해요,0.1
달콤하지 않은 음료를 추천해 주세요,0.1
친구에게 줄 책을 고르고 있어요,0.1
주말에 가족과 나들이를 가려고 해요,0.1
사진 촬영을 잘하는 기본 방법을 알려 주세요,0.1
집에서 볼 만한 드라마를 추천해 주세요,0.1
차와 잘 어울리는 디저트를 추천해 주세요,0.1
은은한 향의 방향제를 추천해 주세요,0.1
가족과 함께 부르기 좋은 노래가 있나요?,0.1
실내에서 잘 자라는 식물이 있나요?,0.1
무료로 관람할 수 있는 전시가 있나요?,0.1
오늘도 즐거운 일들이 많았어요,0.1
온라인으로 배울 수 있는 강좌를 알려 주세요,0.1
새 비밀번호를 안전하게 설정했어요,0.1
공기청정기 필터 교체 시기를 알려 주세요,0.1
새로운 이메일 주소를 만드는 방법이 궁금해요,0.1
전자책과 종이책의 장단점을 알려 주세요,0.1
오늘은 집에서 편하게 쉬고 싶어요,0.1
충전기는 어느 매장에서 살 수 있나요?,0.1
잔잔한 분위기의 영화를 찾고 있어요,0.1
박물관 입장료가 얼마인가요?,0.1
여름에는 시원한 음료가 생각나요,0.1
물을 충분히 마시는 방법을 알려 주세요,0.1
새로 공개된 예능 프로그램이 궁금해요,0.1
내일 약속 시간을 다시 확인했어요,0.1
이 바지는 허리가 편안해서 좋아요,0.1
조식이 포함되어 있는지 궁금합니다,0.1
이 상품은 언제 배송되나요?,0.1
이번 주 일정이 꽤 여유롭네요,0.1
은행 영업 시간을 알려 주세요,0.1
효율적으로 일정표를 만드는 방법을 알려 주세요,0.1
결제 방법에는 어떤 종류가 있나요?,0.1
주문 내역을 다시 확인하고 싶어요,0.1
집중력을 높이는 공부 환경을 만들고 싶어요,0.1
알람을 여러 개 설정할 수 있나요?,0.1
새로운 장소를 천천히 둘러보고 싶어요,0.1
사진을 정리해서 앨범을 만들고 있어요,0.1
맑은 공기를 마시며 하루를 시작하고 싶어요,0.1
디저트로 케이크를 먹을까요?,0.1
자격증 공부 계획을 세우는 방법을 알려 주세요,0.1
편지를 예쁘게 포장하고 싶어요,0.1
주말에 방을 정리하려고 해요,0.1
아침에 마시기 좋은 차를 추천해 주세요,0.1
집에서 사용할 수 있는 향초가 있나요?,0.1
함께 먹을 간식을 준비하고 싶어요,0.1
오늘 하늘 색이 정말 아름답네요,0.1
수영장 이용 시간을 알려 주세요,0.1
집에서 만들기 쉬운 디저트가 있을까요?,0.1
세탁기 사용법을 다시 확인했어요,0.1
오늘은 일찍 쉬려고 합니다,0.1
좌석을 창가 쪽으로 선택할 수 있나요?,0.1
영화가 끝난 뒤 카페에 들를 예정이에요,0.1
체크인 시간은 몇 시부터인가요?,0.1
화상 통화 앱을 추천해 주세요,0.1
악기를 하나 배워 보고 싶어요,0.1
알림을 조용히 설정하는 방법을 알려 주세요,0.1
최근에 나온 애니메이션이 궁금해요,0.1
읽고 싶은 책이 너무 많아서 고민이에요,0.1
오늘 저녁에는 어떤 음악을 들을까요?,0.1
자막이 있는 상영 시간을 알려 주세요,0.1
여권 유효 기간을 확인하고 싶어요,0.1
편안한 요가 동작을 알려 주세요,0.1
컴퓨터 파일을 정리하는 좋은 방법이 있나요?,0.1
햇빛이 적은 곳에서도 잘 자라는 식물이 있나요?,0.1
오늘 감사한 일을 기록해 보려고 해요,0.1
새벽 공기가 상쾌하게 느껴져요,0.1
주말에 수영을 배우고 싶어요,0.1
도자기 만들기 체험을 해 보고 싶어요,0.1
우산을 챙기는 게 좋을까요?,0.1
집 안의 먼지를 줄이는 방법을 알려 주세요,0.1
주말 아침에는 팬케이크를 구워 보고 싶어요,0.1
회원 가입 방법을 안내해 주세요,0.1
집 안을 향기롭게 만드는 방법이 궁금해요,0.1
잡지를 편하게 읽을 수 있는 공간이 있나요?,0.1
고양이에게 적합한 캣타워를 고르고 싶어요,0.1
편안한 주말을 보내는 아이디어를 알려 주세요,0.1
저녁에는 따뜻한 국을 끓여 볼까요?,0.1
아침마다 스트레칭을 하려고 해요,0.1
오랜만에 안부를 나누니 반갑네요,0.1
인터넷 연결 상태를 확인하고 싶어요,0.1
조용한 분위기의 식당을 찾고 있어요,0.1
집에서 따라 하기 쉬운 요가 영상을 추천해 주세요,0.1
저녁에 별을 볼 수 있을까요?,0.1
이메일 서명을 예쁘게 꾸미고 싶어요,0.1
하루 동안 물을 얼마나 마셔야 하나요?,0.1
주말마다 새로운 요리를 시도하고 있어요,0.1
김치볶음밥을 만들어 보려고 해요,0.1
알람을 아침 일곱 시로 설정했어요,0.1
간식으로 견과류를 준비했어요,0.1
당일치기로 다녀오기 좋은 곳을 알려 주세요,0.1
감사한 마음을 자연스럽게 표현하는 문장이 있나요?,0.1
주말에 어디로 나들이를 가면 좋을까요?,0.1
작은 조명을 켜 두니 아늑하네요,0.1
새로운 언어를 공부하는 방법을 추천해 주세요,0.1
업무를 마친 뒤에는 편하게 쉬고 싶어요,0.1
도서관 회원증을 만드는 방법을 알려 주세요,0.1
새 수건을 사서 욕실을 정리했어요,0.1
오늘 하루를 차분하게 마무리하고 싶어요,0.1
가족과 함께 저녁 식사를 했어요,0.1
봄에 방문하기 좋은 여행지를 추천해 주세요,0.1
온라인으로 책을 주문하려고 해요,0.1
문화센터 프로그램을 찾아보고 있어요,0.1
주말 아침에 만들어 먹기 좋은 브런치는 무엇인가요?,0.1
주말에는 기온이 얼마나 올라갈까요?,0.1
외국어 공부를 재미있게 하는 방법이 있나요?,0.1
온라인 회의 배경을 깔끔하게 만들고 싶어요,0.1
침실에 어울리는 조명을 찾고 있어요,0.1
집에서 커피를 맛있게 내리는 방법을 알려 주세요,0.1
숙소에 세탁실이 있나요?,0.1
아침 식사로 시리얼을 준비했어요,0.1
아침 식사로 과일을 먹었어요,0.1
물을 충분히 마시려고 노력하고 있어요,0.1
주말에 당일치기 여행을 계획하고 있어요,0.1
숙소에 조식이 포함되어 있나요,0.1
