학습용텍스트,위험도_정답
아래층에서 문을 세게 닫아서 관리사무소에 항의했습니다.,0.3
동거인과 사소한 오해 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
헤어진 남자친구에게 안부 연락이 왔지만 위협적인 내용은 없었습니다.,0.3
아파트 주차장에서 이웃과 사소한 시비가 붙었습니다.,0.3
위층 사람이 의자를 끄는 소리가 나서 소음 갈등이 있었습니다.,0.3
남편과 돈 문제 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
헤어진 여자친구에게 안부 연락이 왔지만 위협적인 내용은 없었습니다.,0.3
동거인과 술버릇로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
동창과 약속 불이행로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
헤어진 여자친구가 선물을 하나 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
아래층에서 의자를 끄는 소리가 나서 관리사무소에 항의했습니다.,0.3
아내와 약속 시간 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
골목길에서 주차 문제로 경비원과 말다툼을 했습니다.,0.3
헤어진 여자친구가 SNS에 댓글을 남겼을 뿐 위협적인 내용은 없었습니다.,0.3
옆집 사람이 청소기를 새벽에 돌려서 소음 갈등이 있었습니다.,0.3
모르는 번호로 대출 상담 전화가 계속 옵니다.,0.3
골목길에서 주차 문제로 관리인과 말다툼을 했습니다.,0.3
예전 연인이 안부 문자를 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
버스정류장에서 취객이 시비를 걸어 잠깐 다퉜습니다.,0.3
골목길에서 이웃과 사소한 시비가 붙었습니다.,0.3
남편과 사소한 오해로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
부모님과 집안일 분담 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
옆집에서 뛰어다녀서 관리사무소에 항의했습니다.,0.3
윗집에서 청소기를 새벽에 돌려서 관리사무소에 항의했습니다.,0.3
윗집 사람이 뛰어다녀서 소음 갈등이 있었습니다.,0.3
투자 권유 관련 스팸 전화가 하루에도 여러 번 옵니다.,0.3
아래층에서 뛰어다녀서 관리사무소에 항의했습니다.,0.3
친구와 사소한 오해로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
골목길에서 모르는 사람과 사소한 시비가 붙었습니다.,0.3
윗집에서 뛰어다녀서 관리사무소에 항의했습니다.,0.3
형제와 사소한 오해로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
아내와 돈 문제 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
아래층 사람이 청소기를 새벽에 돌려서 소음 갈등이 있었습니다.,0.3
윗집 사람이 세탁기를 늦은 밤에 돌려서 소음 갈등이 있었습니다.,0.3
위층에서 청소기를 새벽에 돌려서 관리사무소에 항의했습니다.,0.3
마트 주차장에서 이웃과 사소한 시비가 붙었습니다.,0.3
아파트 주차장에서 주차 문제로 모르는 사람과 말다툼을 했습니다.,0.3
헤어진 남자친구에게서 오랜만에 연락이 왔습니다. 별다른 위협은 없습니다.,0.3
술집에서 취객이 시비를 걸어 잠깐 다퉜습니다.,0.3
동네 친구와 약속 불이행로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
남편과 말투로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
식당에서 술 취한 사람과 가벼운 시비가 붙었습니다.,0.3
형제와 약속 시간 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
부모님과 말투 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
동거인과 집안일 분담 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
골목길에서 경비원과 사소한 시비가 붙었습니다.,0.3
헤어진 여자친구가 안부 문자를 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
친구와 집안일 분담로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
친구와 술버릇로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
동네 친구와 사소한 오해로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
전 남친이 SNS에 댓글을 남겼을 뿐 위협적인 내용은 없었습니다.,0.3
형제와 약속 시간로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
아내와 돈 문제로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
동거인과 집안일 분담로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
헤어진 남자친구가 전화를 한 통 걸었을 뿐 위협적인 내용은 없었습니다.,0.3
전 남친에게 안부 연락이 왔지만 위협적인 내용은 없었습니다.,0.3
아파트 주차장에서 주차 문제로 관리인과 말다툼을 했습니다.,0.3
중고거래 중 구매자와 배송 지연로 문자로 다퉜습니다.,0.3
아파트 주차장에서 경비원과 사소한 시비가 붙었습니다.,0.3
편의점 앞에서 술 취한 사람과 가벼운 시비가 붙었습니다.,0.3
회사 주차장에서 이웃과 사소한 시비가 붙었습니다.,0.3
동거인과 약속 시간로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
위층 사람이 뛰어다녀서 소음 갈등이 있었습니다.,0.3
전 여친에게서 오랜만에 연락이 왔습니다. 별다른 위협은 없습니다.,0.3
아래층에서 청소기를 새벽에 돌려서 관리사무소에 항의했습니다.,0.3
마트 주차장에서 주차 문제로 경비원과 말다툼을 했습니다.,0.3
중고거래 중 구매자와 거래 취소로 문자로 다퉜습니다.,0.3
중고거래 중 구매자와 물건 상태로 문자로 다퉜습니다.,0.3
술집에서 술 취한 사람과 가벼운 시비가 붙었습니다.,0.3
옆집에서 음악을 크게 틀어서 관리사무소에 항의했습니다.,0.3
친구와 집안일 분담 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
예전 연인이 전화를 한 통 걸었을 뿐 위협적인 내용은 없었습니다.,0.3
전 여친이 SNS에 댓글을 남겼을 뿐 위협적인 내용은 없었습니다.,0.3
윗집에서 문을 세게 닫아서 관리사무소에 항의했습니다.,0.3
남편과 약속 시간로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
위층에서 의자를 끄는 소리가 나서 관리사무소에 항의했습니다.,0.3
아파트 주차장에서 주차 문제로 경비원과 말다툼을 했습니다.,0.3
헤어진 여자친구가 잘 지내냐고 연락했을 뿐 위협적인 내용은 없었습니다.,0.3
중고거래 중 판매자와 환불 요청로 문자로 다퉜습니다.,0.3
전 여친이 전화를 한 통 걸었을 뿐 위협적인 내용은 없었습니다.,0.3
예전 연인에게서 오랜만에 연락이 왔습니다. 별다른 위협은 없습니다.,0.3
부모님과 말투로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
형제와 집안일 분담 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
회사 주차장에서 주차 문제로 모르는 사람과 말다툼을 했습니다.,0.3
마트 주차장에서 모르는 사람과 사소한 시비가 붙었습니다.,0.3
마트 주차장에서 주차 문제로 이웃과 말다툼을 했습니다.,0.3
옆집에서 의자를 끄는 소리가 나서 관리사무소에 항의했습니다.,0.3
헤어진 남자친구가 선물을 하나 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
위층 사람이 문을 세게 닫아서 소음 갈등이 있었습니다.,0.3
전 여친이 잘 지내냐고 연락했을 뿐 위협적인 내용은 없었습니다.,0.3
아래층 사람이 세탁기를 늦은 밤에 돌려서 소음 갈등이 있었습니다.,0.3
예전 연인이 선물을 하나 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
부모님과 돈 문제로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
회사 주차장에서 경비원과 사소한 시비가 붙었습니다.,0.3
환불 문제로 매장 직원과 언쟁이 있었습니다.,0.3
동네 친구와 돈 문제로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
지인과 약속 불이행로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
아래층에서 세탁기를 늦은 밤에 돌려서 관리사무소에 항의했습니다.,0.3
예전 연인에게 안부 연락이 왔지만 위협적인 내용은 없었습니다.,0.3
지인과 사소한 오해로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
중고거래 중 판매자와 물건 상태로 문자로 다퉜습니다.,0.3
모르는 번호로 상품권 이벤트 전화가 계속 옵니다.,0.3
남편과 술버릇 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
윗집에서 의자를 끄는 소리가 나서 관리사무소에 항의했습니다.,0.3
아래층에서 음악을 크게 틀어서 관리사무소에 항의했습니다.,0.3
식당에서 취객이 시비를 걸어 잠깐 다퉜습니다.,0.3
형제와 말투로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
전 여친이 안부 문자를 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
남편과 사소한 오해 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
아내와 말투 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
헤어진 남자친구가 안부 문자를 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
위층에서 세탁기를 늦은 밤에 돌려서 관리사무소에 항의했습니다.,0.3
부모님과 술버릇로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
전 남친이 전화를 한 통 걸었을 뿐 위협적인 내용은 없었습니다.,0.3
옆집 사람이 음악을 크게 틀어서 소음 갈등이 있었습니다.,0.3
택시기사와 요금 문제로 말다툼을 했습니다.,0.3
회사 주차장에서 모르는 사람과 사소한 시비가 붙었습니다.,0.3
위층 사람이 세탁기를 늦은 밤에 돌려서 소음 갈등이 있었습니다.,0.3
동창과 업무 분담로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
남편과 약속 시간 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
부모님과 술버릇 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
모르는 번호로 보험 가입 권유 전화가 계속 옵니다.,0.3
아내와 약속 시간로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
아래층 사람이 문을 세게 닫아서 소음 갈등이 있었습니다.,0.3
동창과 사소한 오해로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
아래층 사람이 뛰어다녀서 소음 갈등이 있었습니다.,0.3
전 남친이 선물을 하나 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
옆집 사람이 문을 세게 닫아서 소음 갈등이 있었습니다.,0.3
친구와 약속 시간로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
친구와 말투 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
동거인과 말투 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
헤어진 여자친구에게서 오랜만에 연락이 왔습니다. 별다른 위협은 없습니다.,0.3
중고거래 중 판매자와 배송 지연로 문자로 다퉜습니다.,0.3
상품권 이벤트 관련 스팸 전화가 하루에도 여러 번 옵니다.,0.3
배달 음식이 늦게 와서 업체와 실랑이를 했습니다.,0.3
전 여친이 선물을 하나 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
직장 동료와 돈 문제로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
남편과 술버릇로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
마트 주차장에서 주차 문제로 관리인과 말다툼을 했습니다.,0.3
윗집 사람이 문을 세게 닫아서 소음 갈등이 있었습니다.,0.3
아내와 집안일 분담로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
인터넷 설치 기사와 예약 시간 문제로 다퉜습니다.,0.3
전 남친에게서 오랜만에 연락이 왔습니다. 별다른 위협은 없습니다.,0.3
설문조사 관련 스팸 전화가 하루에도 여러 번 옵니다.,0.3
위층에서 문을 세게 닫아서 관리사무소에 항의했습니다.,0.3
남편과 집안일 분담 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
아래층 사람이 음악을 크게 틀어서 소음 갈등이 있었습니다.,0.3
동거인과 약속 시간 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
위층 사람이 음악을 크게 틀어서 소음 갈등이 있었습니다.,0.3
옆집 사람이 세탁기를 늦은 밤에 돌려서 소음 갈등이 있었습니다.,0.3
지인과 업무 분담로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
남편과 돈 문제로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
부모님과 사소한 오해로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
헤어진 여자친구가 전화를 한 통 걸었을 뿐 위협적인 내용은 없었습니다.,0.3
아내와 술버릇로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
아내와 집안일 분담 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
동거인과 돈 문제로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
아래층 사람이 의자를 끄는 소리가 나서 소음 갈등이 있었습니다.,0.3
형제와 돈 문제로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
형제와 집안일 분담로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
아내와 사소한 오해로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
친구와 사소한 오해 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
형제와 돈 문제 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
동네 친구와 업무 분담로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
편의점 앞에서 취객이 시비를 걸어 잠깐 다퉜습니다.,0.3
아내와 술버릇 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
형제와 사소한 오해 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
중고거래 중 판매자와 가격 문제로 문자로 다퉜습니다.,0.3
동창과 돈 문제로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
친구와 말투로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
골목길에서 관리인과 사소한 시비가 붙었습니다.,0.3
부모님과 약속 시간로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
윗집 사람이 의자를 끄는 소리가 나서 소음 갈등이 있었습니다.,0.3
옆집 개가 자꾸 짖어서 항의했습니다.,0.3
모르는 번호로 통신사 변경 권유 전화가 계속 옵니다.,0.3
아파트 주차장에서 관리인과 사소한 시비가 붙었습니다.,0.3
형제와 술버릇로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
중고거래 중 판매자와 거래 취소로 문자로 다퉜습니다.,0.3
전 여친에게 안부 연락이 왔지만 위협적인 내용은 없었습니다.,0.3
지인과 돈 문제로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
마트 주차장에서 주차 문제로 모르는 사람과 말다툼을 했습니다.,0.3
위층에서 음악을 크게 틀어서 관리사무소에 항의했습니다.,0.3
회사 주차장에서 주차 문제로 관리인과 말다툼을 했습니다.,0.3
윗집에서 세탁기를 늦은 밤에 돌려서 관리사무소에 항의했습니다.,0.3
예전 연인이 SNS에 댓글을 남겼을 뿐 위협적인 내용은 없었습니다.,0.3
버스정류장에서 술 취한 사람과 가벼운 시비가 붙었습니다.,0.3
모르는 번호로 설문조사 전화가 계속 옵니다.,0.3
동거인과 돈 문제 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
골목길에서 주차 문제로 이웃과 말다툼을 했습니다.,0.3
길거리에서 술 취한 사람과 가벼운 시비가 붙었습니다.,0.3
아파트 주차장에서 모르는 사람과 사소한 시비가 붙었습니다.,0.3
윗집 사람이 청소기를 새벽에 돌려서 소음 갈등이 있었습니다.,0.3
대출 상담 관련 스팸 전화가 하루에도 여러 번 옵니다.,0.3
위층 사람이 청소기를 새벽에 돌려서 소음 갈등이 있었습니다.,0.3
형제와 술버릇 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
회사 주차장에서 주차 문제로 경비원과 말다툼을 했습니다.,0.3
중고거래 중 구매자와 가격 문제로 문자로 다퉜습니다.,0.3
동거인과 말투로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
직장 동료와 사소한 오해로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
동네 주민과 쓰레기 분리수거 문제로 다퉜습니다.,0.3
모르는 번호로 투자 권유 전화가 계속 옵니다.,0.3
부모님과 돈 문제 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
부모님과 약속 시간 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
직장 동료와 약속 불이행로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
골목길에서 주차 문제로 모르는 사람과 말다툼을 했습니다.,0.3
동거인과 사소한 오해로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
전 남친이 안부 문자를 보냈을 뿐 위협적인 내용은 없었습니다.,0.3
